luminosity,N,P,K,ph,EC,humidity,temperature,score,soil_quality
124.0,26.2,24.0,94.8,7.0,3.73,25.22,36.13,38.25,Poor
517.9,54.0,27.0,135.7,6.43,0.78,22.79,33.06,56.64,Moderate
280.0,32.4,13.0,30.2,4.62,0.11,24.88,26.25,34.78,Poor
157.4,8.3,9.2,63.8,4.25,0.57,27.18,15.27,29.8,Poor
674.0,72.4,27.4,67.2,7.94,1.37,52.36,19.08,54.25,Moderate
587.6,133.5,42.1,136.3,6.45,1.46,65.27,18.88,71.99,Healthy
950.4,126.3,50.8,188.6,5.99,1.22,75.85,21.18,71.94,Healthy
911.9,75.6,29.5,84.5,6.15,0.7,47.5,30.16,63.21,Moderate
301.6,21.5,2.2,54.0,4.67,0.42,39.65,27.36,39.17,Poor
76.4,35.2,4.4,73.5,4.09,0.41,28.32,18.84,30.33,Poor
448.8,109.1,32.4,139.6,4.65,0.48,38.27,25.55,49.52,Moderate
457.7,160.2,76.7,168.7,7.0,1.66,56.52,20.95,72.48,Healthy
472.0,83.9,21.5,111.6,7.56,2.22,64.47,24.48,57.29,Moderate
158.0,11.0,13.6,34.7,3.96,0.33,21.68,8.3,21.44,Poor
170.3,14.3,16.0,20.1,4.79,0.13,39.26,26.71,37.95,Poor
417.3,149.0,61.5,215.3,6.52,1.5,62.24,16.8,75.37,Healthy
290.1,71.6,41.0,108.4,7.62,1.93,46.58,29.7,52.81,Moderate
500.1,11.6,29.5,35.5,7.46,2.76,36.61,41.03,38.65,Poor
459.9,107.1,58.5,111.1,5.14,0.55,51.01,28.38,56.71,Moderate
257.7,30.7,12.2,29.6,7.82,2.95,38.04,18.26,38.25,Poor
416.1,27.7,6.1,34.4,4.59,0.41,27.94,22.79,37.3,Poor
581.3,57.0,29.2,94.9,7.61,1.58,64.0,22.6,58.65,Moderate
759.3,131.9,51.2,143.6,6.17,1.09,57.01,19.16,72.77,Healthy
566.3,102.7,34.6,75.7,5.36,0.73,63.77,18.5,57.71,Moderate
949.2,135.2,63.8,150.3,6.58,1.53,81.72,16.08,70.65,Healthy
728.6,29.4,48.7,170.6,6.76,1.18,65.21,27.59,69.94,Healthy
797.5,43.9,83.5,112.2,6.72,1.14,54.7,21.26,72.14,Healthy
670.9,56.2,26.2,78.8,7.9,1.57,62.7,28.24,54.9,Moderate
430.6,66.2,32.1,85.1,8.1,1.48,58.9,25.66,54.58,Moderate
333.2,24.1,21.3,32.9,7.44,3.35,47.66,38.62,39.02,Poor
436.8,29.3,9.3,29.6,4.97,0.51,19.12,33.72,35.12,Poor
151.8,16.9,6.0,61.0,5.64,3.59,36.55,32.96,37.14,Poor
71.2,12.4,6.2,11.9,3.76,0.24,11.17,25.88,23.38,Poor
395.1,74.9,52.4,153.3,5.57,0.82,45.18,18.72,58.9,Moderate
635.6,57.8,61.3,157.1,6.95,0.79,75.73,27.35,65.35,Healthy
494.5,26.2,42.9,130.3,6.46,1.31,51.73,20.24,67.25,Healthy
195.5,15.9,4.2,36.0,4.07,0.45,13.32,34.17,23.02,Poor
947.4,125.8,56.2,117.7,6.67,1.38,64.7,20.31,74.53,Healthy
684.4,90.8,34.1,116.8,6.93,0.66,28.42,19.66,59.18,Moderate
501.5,133.6,52.3,145.6,5.12,0.65,40.65,22.57,57.98,Moderate
649.1,125.6,53.9,218.6,6.99,1.69,51.53,22.0,71.58,Healthy
149.9,28.0,25.5,47.1,5.98,3.69,29.09,11.27,37.53,Poor
432.4,99.5,34.4,118.8,7.41,2.03,57.27,23.49,61.34,Moderate
484.8,150.0,87.3,183.6,7.06,1.14,72.41,27.36,72.26,Healthy
516.2,74.9,25.9,123.5,7.77,1.07,58.19,20.41,58.76,Moderate
755.8,40.0,74.4,92.8,6.09,0.78,69.01,20.06,65.82,Healthy
724.4,61.2,41.5,69.0,7.88,1.89,46.31,16.74,51.04,Moderate
391.4,79.8,16.0,123.7,7.91,1.75,42.93,24.65,52.28,Moderate
193.9,21.4,12.8,35.9,4.61,0.6,33.83,34.64,33.9,Poor
462.0,29.5,9.0,13.0,3.98,0.52,22.0,19.71,29.52,Poor
218.8,18.1,9.0,29.6,7.0,3.06,34.42,40.96,37.74,Poor
638.2,59.6,55.2,96.4,7.13,0.83,41.09,29.2,59.91,Moderate
649.4,86.0,32.1,134.3,6.86,1.3,21.45,30.33,58.93,Moderate
420.2,81.4,38.4,71.7,5.29,0.8,53.43,29.43,54.99,Moderate
650.1,188.0,79.1,237.4,6.75,1.82,67.47,14.77,75.05,Healthy
778.0,89.2,43.6,79.0,7.05,0.58,28.0,28.79,57.46,Moderate
269.3,76.5,19.6,68.5,8.21,2.76,36.94,32.16,38.02,Poor
273.3,9.0,5.6,54.4,4.54,0.35,24.06,12.22,29.49,Poor
395.7,11.5,3.5,42.5,4.9,0.48,22.14,17.64,35.7,Poor
450.3,40.4,3.6,10.4,4.27,0.27,16.8,13.39,26.53,Poor
373.5,31.6,4.7,47.8,4.34,0.44,29.22,11.86,30.51,Poor
805.2,47.8,45.1,99.3,6.55,0.89,77.17,22.04,67.21,Healthy
160.2,33.8,25.8,64.7,7.86,3.65,48.22,15.12,37.66,Poor
216.4,65.4,21.8,79.4,5.71,0.72,54.27,16.31,54.51,Moderate
354.7,24.8,20.4,22.6,5.27,0.1,25.3,9.31,35.03,Poor
396.2,40.2,3.8,10.6,4.58,0.53,13.28,24.42,34.0,Poor
675.3,137.8,81.9,202.2,6.22,1.67,48.8,23.86,75.9,Healthy
65.0,25.5,7.6,53.7,3.82,0.54,37.21,11.17,27.59,Poor
585.7,61.2,39.0,162.7,7.0,0.75,21.46,23.78,59.18,Moderate
795.7,58.2,31.9,121.4,6.53,1.05,26.67,19.06,62.89,Moderate
704.7,135.5,52.5,134.6,5.25,0.72,53.55,13.46,59.21,Moderate
671.0,139.3,56.6,192.8,7.11,1.54,48.37,24.82,71.0,Healthy
465.4,13.5,13.2,64.9,4.64,0.53,29.73,28.1,38.51,Poor
139.2,10.8,8.2,34.4,3.98,0.32,24.35,23.0,28.57,Poor
385.2,52.7,64.4,177.6,6.97,0.9,51.4,19.32,65.7,Healthy
833.6,134.5,52.4,179.7,6.52,1.42,46.61,27.51,75.1,Healthy
621.8,82.0,68.1,187.5,6.61,1.89,56.9,17.83,71.34,Healthy
507.5,22.3,42.9,132.2,6.52,0.85,63.93,18.89,66.84,Healthy
134.3,24.4,10.1,67.6,4.21,0.18,11.93,12.66,23.7,Poor
682.7,41.6,30.4,90.2,7.68,1.4,53.68,29.32,56.26,Moderate
559.9,41.2,69.8,140.7,6.29,0.66,55.09,26.62,68.73,Healthy
245.8,32.4,16.5,21.1,4.92,0.47,25.26,27.86,37.89,Poor
562.9,126.1,57.2,80.7,5.35,0.43,54.56,27.04,59.97,Moderate
169.3,29.0,5.0,43.4,4.08,0.24,11.84,24.52,27.23,Poor
91.6,34.1,11.6,31.1,4.6,0.64,27.29,12.24,31.48,Poor
404.8,22.3,18.9,32.7,4.31,0.31,28.78,25.55,35.03,Poor
424.2,139.4,87.4,157.2,6.27,0.83,44.73,16.66,69.59,Healthy
615.5,159.4,45.6,147.2,5.96,1.1,55.68,21.37,71.65,Healthy
697.1,156.9,54.0,163.9,6.71,1.32,59.85,22.55,77.63,Healthy
808.6,120.4,71.4,186.6,7.22,1.57,50.61,24.2,71.71,Healthy
499.4,64.5,37.0,131.0,7.87,2.16,56.49,24.12,56.31,Moderate
231.1,14.3,9.9,61.6,5.16,0.21,22.42,36.5,34.14,Poor
554.3,136.9,47.5,185.1,5.87,1.22,66.4,21.15,70.6,Healthy
569.3,83.6,66.5,193.0,6.72,1.68,58.95,21.97,73.48,Healthy
249.9,33.6,2.1,41.7,4.41,0.42,15.52,34.36,27.49,Poor
144.3,48.2,9.4,91.5,7.52,3.93,43.89,14.39,39.29,Poor
421.0,103.3,20.8,80.1,7.7,1.84,55.77,28.15,55.26,Moderate
475.0,143.3,85.3,170.4,6.28,1.81,57.0,24.92,75.54,Healthy
304.9,25.9,2.1,52.5,4.01,0.14,18.33,34.74,23.73,Poor
101.1,5.4,6.8,43.3,5.1,0.43,19.58,29.44,35.12,Poor
301.4,26.5,21.0,44.6,4.69,0.25,36.8,27.7,39.06,Poor
556.4,130.9,60.4,160.1,6.39,0.93,69.67,19.84,72.6,Healthy
281.3,96.7,18.9,110.6,7.48,1.16,47.31,14.73,54.78,Moderate
386.4,29.9,60.6,128.9,6.91,1.23,71.5,22.68,65.36,Healthy
854.1,133.9,67.7,160.0,6.98,0.93,70.35,26.2,72.76,Healthy
404.1,17.3,8.7,26.0,4.62,0.51,15.02,13.28,29.68,Poor
489.8,29.1,47.9,129.4,6.58,0.72,69.5,22.89,66.81,Healthy
82.2,34.9,3.8,10.8,5.12,0.16,15.83,18.58,33.17,Poor
554.3,125.5,24.8,128.3,5.08,1.03,36.48,27.72,54.52,Moderate
363.2,21.8,64.0,133.4,6.34,1.43,66.28,25.62,67.76,Healthy
768.7,100.4,38.6,191.1,6.14,1.56,64.45,22.46,72.14,Healthy
383.0,67.7,38.9,89.2,5.68,0.89,61.88,26.26,61.21,Moderate
530.3,47.3,41.3,127.5,6.63,1.08,71.46,24.67,68.07,Healthy
458.7,98.7,40.2,98.1,7.78,1.18,50.73,31.62,56.2,Moderate
731.1,159.6,37.0,175.1,6.06,0.86,58.29,18.53,71.93,Healthy
165.0,18.4,16.9,28.8,5.05,0.59,37.35,33.69,38.77,Poor
568.9,140.0,53.4,168.4,7.04,1.56,55.64,18.18,69.19,Healthy
540.6,131.0,66.4,215.2,6.52,1.45,77.89,16.72,72.17,Healthy
309.7,56.4,42.9,128.8,7.67,1.19,54.06,16.51,56.48,Moderate
321.2,31.3,6.2,20.3,4.25,0.54,25.65,16.3,30.22,Poor
935.2,108.2,37.9,176.6,6.35,1.76,76.16,25.17,71.47,Healthy
614.3,81.6,44.2,83.1,5.25,0.55,51.5,23.55,57.66,Moderate
314.0,32.4,4.0,55.5,4.68,0.45,32.94,27.89,38.24,Poor
805.7,25.1,60.2,140.8,6.2,1.33,75.42,26.47,67.39,Healthy
316.9,82.6,32.5,119.8,7.83,1.67,58.02,13.5,52.87,Moderate
276.9,66.0,28.9,127.7,7.93,1.9,63.95,15.21,50.44,Moderate
284.2,69.6,49.9,135.4,8.22,1.97,55.91,28.24,51.72,Moderate
630.5,130.6,47.6,156.7,7.11,1.25,67.36,17.45,67.95,Healthy
520.5,115.0,56.6,220.7,6.39,1.62,71.23,20.34,72.7,Healthy
473.4,188.2,44.3,247.2,6.3,0.93,64.31,19.66,76.67,Healthy
376.0,43.9,29.1,99.5,7.36,1.63,62.32,24.64,59.63,Moderate
407.0,15.6,17.5,70.1,4.21,0.37,17.14,13.48,28.16,Poor
323.0,52.1,48.5,120.9,6.98,0.55,40.87,32.27,56.5,Moderate
481.6,122.5,45.4,104.7,5.14,0.62,63.7,15.6,55.99,Moderate
223.3,8.2,7.4,42.4,3.99,0.43,30.87,20.06,29.82,Poor
481.7,80.6,20.1,86.5,5.16,0.73,50.6,18.6,52.46,Moderate
190.6,63.6,6.3,78.1,7.98,3.38,28.09,17.92,34.73,Poor
186.7,10.4,25.6,23.2,7.39,3.2,40.52,34.74,38.63,Poor
830.4,194.4,65.8,173.1,6.51,1.36,42.47,23.65,79.23,Healthy
382.8,16.5,6.6,65.4,4.24,0.33,17.96,37.08,26.17,Poor
282.9,10.1,17.4,12.5,3.95,0.22,31.3,28.49,29.02,Poor
598.6,81.8,44.8,76.1,5.85,1.11,37.47,26.41,60.59,Moderate
578.0,23.1,19.1,33.9,5.56,3.11,33.65,36.23,39.23,Poor
221.6,115.3,21.0,90.7,5.07,0.51,52.57,13.08,48.57,Moderate
252.6,25.2,2.8,33.3,4.06,0.11,40.94,24.61,33.37,Poor
481.3,86.0,41.6,163.4,6.14,0.67,38.72,29.69,62.19,Moderate
340.6,70.8,40.1,122.4,8.07,2.03,58.54,15.07,50.48,Moderate
369.6,25.4,7.3,26.4,4.47,0.48,38.45,10.07,32.35,Poor
199.8,31.9,15.8,67.3,7.98,3.5,39.69,32.46,34.91,Poor
131.2,34.1,15.6,42.5,3.98,0.17,15.88,20.84,26.64,Poor
559.5,67.4,29.5,139.2,7.5,1.3,45.08,22.06,59.65,Moderate
658.7,151.6,90.6,226.5,7.16,1.33,56.73,27.83,75.96,Healthy
452.8,22.7,10.3,60.5,4.41,0.52,37.41,29.88,37.39,Poor
301.8,18.6,23.7,19.3,5.42,3.95,40.51,31.95,37.15,Poor
579.4,115.8,51.0,113.0,5.13,1.05,42.73,13.39,54.34,Moderate
413.4,8.1,14.8,50.0,4.19,0.31,36.2,27.47,34.56,Poor
84.0,11.4,12.2,49.9,5.17,0.16,16.67,32.83,33.08,Poor
422.4,103.9,42.8,86.4,5.94,0.73,57.61,28.36,63.73,Moderate
436.3,19.9,13.5,70.0,4.03,0.12,11.38,33.06,24.99,Poor
351.9,39.9,14.5,54.2,4.47,0.6,32.91,35.45,34.64,Poor
153.2,8.4,7.0,29.7,4.57,0.48,20.97,28.81,31.33,Poor
605.6,90.2,46.4,133.5,6.07,1.77,62.14,25.48,68.38,Healthy
133.9,33.6,14.4,64.9,4.82,0.45,32.35,31.1,37.7,Poor
346.0,97.6,37.1,97.5,5.12,0.6,39.82,24.33,52.84,Moderate
406.1,68.8,53.3,82.2,5.2,0.77,55.2,29.36,55.32,Moderate
449.2,69.4,50.2,73.5,8.12,1.23,60.76,26.02,56.48,Moderate
133.7,62.0,7.1,28.2,5.83,3.78,33.57,30.45,39.66,Poor
407.0,33.0,12.7,30.1,4.13,0.57,25.45,22.55,33.67,Poor
528.3,100.1,21.7,79.4,5.84,0.94,52.65,30.17,60.44,Moderate
238.2,39.8,9.7,94.8,5.57,3.26,35.39,37.1,38.53,Poor
370.2,89.5,21.0,119.6,7.57,1.14,44.96,28.12,56.55,Moderate
487.2,31.0,10.7,50.2,4.17,0.41,14.15,27.26,30.78,Poor
738.9,98.7,46.0,183.0,6.65,1.31,61.91,17.74,73.32,Healthy
505.4,212.0,65.1,193.4,6.97,1.29,44.28,27.14,73.78,Healthy
689.7,130.4,68.7,152.6,6.85,1.27,68.38,21.35,73.54,Healthy
494.9,40.0,56.4,110.1,6.45,0.98,75.16,19.25,65.47,Healthy
528.4,92.5,47.6,71.7,5.46,0.87,55.94,26.89,60.44,Moderate
342.7,30.6,6.4,33.3,4.07,0.41,37.58,16.35,31.57,Poor
491.0,34.4,6.1,12.9,4.63,0.34,30.63,11.49,32.66,Poor
534.2,101.3,79.9,173.8,5.9,1.14,53.22,24.45,72.04,Healthy
341.7,20.4,20.2,10.5,5.12,0.1,14.23,13.61,32.43,Poor
825.2,129.5,55.4,272.3,6.46,1.57,53.57,20.5,79.03,Healthy
311.4,38.1,2.4,50.1,4.65,0.32,30.72,16.74,35.24,Poor
688.7,141.9,63.3,224.3,6.72,0.93,58.27,22.53,78.53,Healthy
191.2,36.5,6.9,34.1,7.68,3.19,44.01,31.96,38.47,Poor
288.3,32.1,20.0,39.3,4.69,0.16,23.02,10.64,30.66,Poor
698.2,95.3,21.6,114.7,8.04,1.06,56.43,14.26,54.46,Moderate
650.3,118.8,33.0,150.7,7.39,0.53,24.71,32.59,53.7,Moderate
644.8,108.2,45.8,96.0,5.48,0.44,48.05,28.81,58.21,Moderate
728.1,42.9,81.4,123.5,6.32,0.72,76.92,26.54,67.84,Healthy
243.1,78.4,31.2,79.8,5.72,0.46,64.59,22.43,58.19,Moderate
327.8,16.9,15.7,62.7,3.65,0.34,15.29,26.86,28.58,Poor
348.5,29.8,2.6,43.4,3.93,0.26,32.37,15.11,28.57,Poor
377.5,79.8,40.6,137.5,5.44,0.51,40.82,18.15,53.92,Moderate
803.5,194.7,54.3,151.7,6.43,1.56,45.64,23.74,77.01,Healthy
680.3,90.6,54.5,73.1,5.14,0.68,71.45,13.42,52.87,Moderate
691.0,181.5,66.3,168.0,7.16,1.85,58.96,26.11,73.05,Healthy
724.4,158.5,47.1,201.4,7.07,1.69,78.64,24.52,70.0,Healthy
130.6,21.9,6.5,70.4,3.92,0.54,16.39,16.3,25.82,Poor
599.6,27.0,60.6,135.8,6.69,1.01,64.62,23.72,70.33,Healthy
716.2,138.7,62.3,158.4,6.86,0.85,57.57,16.51,71.7,Healthy
745.2,81.7,21.1,92.0,7.76,1.07,71.4,29.65,55.99,Moderate
610.1,129.4,37.4,90.7,6.17,0.98,38.79,30.09,63.51,Moderate
237.7,22.8,18.7,24.0,4.25,0.47,33.66,25.91,34.74,Poor
912.9,88.4,42.7,169.0,6.56,0.98,54.53,18.9,73.39,Healthy
574.7,140.0,74.8,210.4,7.03,1.33,63.64,27.57,74.42,Healthy
473.1,22.6,16.2,58.8,5.1,0.38,10.67,37.92,33.12,Poor
228.7,33.0,2.7,37.5,3.94,0.14,28.28,15.04,26.23,Poor
360.1,73.6,39.5,86.0,8.03,1.3,53.86,29.18,53.42,Moderate
310.2,19.9,7.3,37.7,4.76,0.26,17.51,23.05,34.97,Poor
551.3,125.1,47.2,169.1,6.1,1.25,74.67,16.78,67.34,Healthy
273.3,12.1,15.4,41.4,4.91,0.24,26.53,32.56,34.85,Poor
718.0,135.8,81.0,170.3,6.78,0.99,74.32,26.35,74.2,Healthy
315.5,101.4,37.0,117.2,5.19,1.07,56.12,29.28,57.48,Moderate
378.8,29.5,15.3,11.4,3.94,0.21,24.33,16.82,27.3,Poor
532.4,130.8,51.5,114.5,5.49,0.8,42.99,30.91,58.76,Moderate
514.6,152.8,60.2,175.1,6.37,0.94,60.32,21.7,76.75,Healthy
725.4,57.6,75.8,147.9,6.72,1.48,51.99,21.32,71.38,Healthy
694.9,116.6,59.3,144.9,5.29,0.79,56.17,30.87,62.19,Moderate
303.5,39.0,20.3,52.5,4.67,0.26,36.0,31.41,37.71,Poor
467.1,32.6,15.5,30.2,5.11,0.43,37.5,9.41,38.91,Poor
328.1,34.9,13.8,59.8,4.07,0.37,19.85,19.67,30.24,Poor
584.9,35.6,67.8,94.8,6.26,1.16,74.74,22.74,67.01,Healthy
648.7,150.7,52.0,186.7,6.19,0.87,66.58,19.85,73.1,Healthy
682.2,35.9,41.5,162.4,6.02,1.28,73.1,21.85,65.74,Healthy
602.6,87.0,26.1,105.3,7.52,1.63,40.55,28.29,55.7,Moderate
755.7,135.5,65.3,233.7,6.24,0.86,72.2,14.96,72.38,Healthy
338.6,37.7,4.8,22.4,4.94,0.15,14.63,32.65,31.99,Poor
616.4,127.9,55.0,214.0,6.72,1.09,73.86,26.07,73.96,Healthy
539.2,93.8,47.9,157.7,8.21,1.74,65.59,25.06,57.23,Moderate
278.4,5.0,4.4,35.8,4.73,0.17,26.23,9.3,28.72,Poor
470.3,36.1,15.9,44.6,3.81,0.4,17.58,27.53,30.23,Poor
283.8,6.5,2.4,51.7,4.77,0.23,11.62,13.9,28.5,Poor
257.3,25.4,14.8,59.8,4.15,0.3,33.45,33.43,30.68,Poor
107.9,7.9,9.0,69.9,4.99,0.13,28.93,29.78,36.23,Poor
321.8,38.9,7.0,35.0,4.16,0.13,25.95,22.54,31.73,Poor
685.0,202.6,73.0,242.8,6.13,1.76,75.34,21.25,76.06,Healthy
727.2,153.8,60.7,181.5,6.27,1.66,80.87,16.59,69.4,Healthy
585.0,27.3,52.7,170.8,6.63,1.32,72.13,18.68,67.44,Healthy
720.3,123.0,69.1,182.9,6.68,1.37,64.74,24.7,77.37,Healthy
69.7,24.8,7.5,49.1,5.21,0.26,18.92,12.72,33.31,Poor
475.7,125.8,64.7,189.8,6.22,1.11,52.4,23.39,74.57,Healthy
734.4,39.7,33.4,114.6,6.39,0.98,57.55,23.81,70.28,Healthy
572.1,86.9,27.8,138.7,7.74,2.14,48.39,19.6,54.58,Moderate
378.9,11.8,19.4,67.0,5.1,0.33,30.44,32.91,39.48,Poor
542.0,49.6,26.4,88.6,7.86,1.09,62.33,27.57,55.9,Moderate
928.1,148.3,43.6,182.5,5.91,1.59,76.3,18.3,68.34,Healthy
381.7,141.4,60.4,180.8,6.25,0.83,38.96,22.96,69.72,Healthy
873.0,145.6,62.5,179.3,7.18,1.06,70.61,25.59,72.65,Healthy
440.1,10.1,5.0,33.5,7.52,3.38,28.68,36.22,33.76,Poor
845.5,128.1,75.6,167.0,6.19,1.21,68.01,20.57,75.76,Healthy
556.7,69.0,24.4,126.5,7.77,1.54,50.05,24.46,57.48,Moderate
430.6,161.0,92.0,158.9,6.0,0.87,62.15,25.75,74.56,Healthy
146.3,23.7,8.0,59.6,4.86,0.21,27.2,24.83,37.89,Poor
765.5,83.2,58.5,146.2,6.34,1.72,56.88,21.53,72.3,Healthy
632.2,36.8,59.2,165.5,6.59,1.09,64.28,23.2,72.89,Healthy
681.8,138.7,65.9,191.3,6.81,1.57,69.08,22.91,74.66,Healthy
525.4,73.7,43.1,118.3,5.02,1.17,36.47,18.31,52.16,Moderate
296.4,123.7,51.2,64.9,5.94,0.46,47.9,27.32,60.71,Moderate
594.9,23.5,38.1,149.7,6.32,1.3,68.23,21.14,67.35,Healthy
344.4,96.0,19.1,136.2,7.78,1.7,47.87,31.36,52.61,Moderate
482.0,53.1,57.6,157.2,6.24,0.93,84.02,24.63,65.41,Healthy
399.6,21.2,3.7,54.5,4.1,0.55,12.73,31.8,26.84,Poor
225.5,26.6,21.7,15.2,3.9,0.42,20.9,33.71,25.54,Poor
334.3,29.9,67.6,184.0,6.19,0.68,60.89,28.9,67.1,Healthy
756.0,57.4,40.2,122.0,6.07,0.99,63.47,24.59,68.7,Healthy
816.1,89.2,66.1,194.0,6.26,1.5,81.47,20.95,70.52,Healthy
746.4,46.7,32.9,130.9,7.88,1.98,58.15,31.84,54.22,Moderate
632.3,81.5,39.1,109.2,7.77,1.74,68.6,21.28,57.44,Moderate
113.3,77.3,22.8,53.8,5.04,0.42,94.09,15.67,39.34,Poor
771.3,54.7,59.0,127.0,6.41,1.19,48.1,22.45,71.5,Healthy
446.6,58.2,39.2,126.5,7.55,2.01,43.41,14.57,51.5,Moderate
672.2,44.2,17.3,108.7,7.87,1.25,40.8,24.64,54.06,Moderate
714.7,152.0,68.6,143.0,6.24,1.19,79.3,26.73,72.68,Healthy
503.5,166.9,65.0,193.0,6.52,1.53,71.5,18.33,74.61,Healthy
127.5,12.0,18.2,66.4,4.17,0.53,31.98,15.42,30.85,Poor
136.9,9.1,5.9,65.1,3.84,0.1,29.85,9.08,23.1,Poor
456.7,65.1,27.6,92.7,5.65,0.72,61.72,22.69,60.45,Moderate
723.3,19.9,43.0,91.0,6.14,1.2,60.39,25.03,68.02,Healthy
64.9,5.5,20.1,54.2,4.08,0.47,12.23,29.58,25.55,Poor
797.8,182.2,81.9,187.9,6.5,1.79,77.45,23.01,78.22,Healthy
695.7,70.0,50.8,68.0,5.8,0.47,56.28,29.35,60.99,Moderate
610.4,106.2,42.1,121.2,5.8,0.53,40.09,30.71,58.83,Moderate
273.5,61.3,42.2,95.1,7.67,1.97,58.48,30.3,53.87,Moderate
846.6,92.1,40.0,150.8,6.97,0.85,37.77,36.66,60.53,Moderate
685.5,36.0,30.0,115.6,6.4,1.31,50.25,21.87,67.43,Healthy
119.5,19.9,23.7,90.8,7.56,3.42,23.64,14.28,34.77,Poor
