luminosity,N,P,K,ph,EC,humidity,temperature,score,soil_quality
793.4,261.4,59.5,163.4,7.39,3.63,81.88,7.86,55.64,Moderate
199.1,86.1,104.9,170.8,5.23,0.5,69.05,32.99,57.74,Moderate
1131.2,140.1,69.1,24.1,3.74,1.73,34.98,15.01,44.84,Moderate
109.6,269.3,117.0,172.6,9.2,4.0,67.52,15.78,48.63,Moderate
48.3,211.8,65.9,195.5,9.0,0.73,59.44,30.39,53.54,Moderate
590.1,25.5,48.7,100.0,7.52,3.43,35.67,32.75,43.9,Moderate
345.9,264.7,113.9,165.0,6.23,1.26,35.06,43.81,69.18,Healthy
485.0,144.1,138.3,197.3,6.76,1.65,22.45,19.47,70.59,Healthy
907.7,175.1,106.4,61.1,6.8,3.71,45.74,32.93,62.84,Moderate
145.7,272.5,85.2,71.8,4.45,2.2,56.36,8.73,50.89,Moderate
1190.7,255.6,64.6,35.2,8.49,1.99,71.64,25.35,60.57,Moderate
328.1,233.7,137.2,73.1,6.81,1.53,90.73,25.33,72.38,Healthy
1055.2,241.9,38.7,237.0,5.99,3.74,52.22,37.82,65.08,Healthy
339.4,83.6,82.2,299.7,6.44,0.59,55.09,18.8,75.06,Healthy
662.3,152.2,63.7,96.5,4.63,2.79,58.18,14.34,50.82,Moderate
930.7,12.2,104.3,211.6,8.37,1.54,66.72,37.83,55.16,Moderate
1177.0,138.7,5.2,150.7,7.04,3.48,86.3,22.61,58.33,Moderate
631.1,127.9,101.1,123.0,7.43,0.62,48.66,43.77,58.29,Moderate
406.3,194.0,91.0,255.5,8.61,3.44,40.34,17.67,50.75,Moderate
862.5,212.6,122.1,10.8,3.91,2.52,90.65,44.9,39.27,Poor
896.1,121.5,13.8,190.1,8.74,1.77,69.54,41.14,45.99,Moderate
55.2,222.9,41.1,112.5,4.37,2.12,57.63,36.7,47.52,Moderate
204.0,22.1,121.9,185.9,4.94,3.65,18.31,23.45,43.41,Moderate
304.8,71.5,1.3,241.4,8.91,2.71,19.69,22.67,35.68,Poor
414.7,164.5,89.5,127.3,5.0,3.38,23.53,20.39,48.05,Moderate
579.8,66.4,80.1,172.4,9.46,1.18,95.95,31.33,43.95,Moderate
329.4,158.5,96.0,223.4,3.79,2.43,51.2,41.17,46.02,Moderate
343.4,223.7,85.0,105.7,7.32,2.48,68.03,33.84,62.48,Moderate
791.0,234.7,88.0,271.0,7.38,1.24,46.0,28.18,77.38,Healthy
878.8,25.2,41.3,224.2,4.55,0.53,55.16,43.86,46.83,Moderate
637.0,255.8,116.3,77.1,8.45,1.93,80.0,34.86,55.99,Moderate
406.5,32.2,134.8,42.2,9.3,3.44,72.35,44.2,31.51,Poor
1160.7,225.3,51.2,237.2,3.58,2.15,47.3,31.91,56.31,Moderate
806.8,163.7,115.1,282.1,4.15,0.94,7.33,40.37,47.8,Moderate
673.7,256.3,31.0,19.0,8.44,3.64,33.1,21.33,43.75,Moderate
167.7,265.0,42.6,147.8,4.08,3.55,17.62,23.15,39.17,Poor
804.6,208.1,132.4,125.7,7.95,0.62,43.58,8.96,61.69,Moderate
587.2,114.3,133.2,9.8,5.72,1.77,93.4,39.22,54.19,Moderate
119.2,192.0,76.2,293.4,5.65,1.59,22.65,9.89,59.47,Moderate
1017.6,127.3,92.8,192.5,7.08,0.09,78.17,14.74,66.94,Healthy
151.1,158.1,9.6,229.5,4.74,0.86,85.88,18.14,50.25,Moderate
177.1,252.1,0.4,257.5,4.37,0.52,28.31,11.98,45.76,Moderate
793.3,7.2,2.1,237.0,4.93,1.3,21.2,7.1,42.01,Moderate
890.1,147.3,104.4,142.9,8.17,2.05,15.14,25.15,55.05,Moderate
1134.5,12.1,109.7,260.1,6.63,1.83,94.65,7.43,64.65,Moderate
574.8,112.5,96.1,147.1,8.96,0.29,12.51,29.33,41.18,Moderate
78.8,77.0,88.6,164.5,5.45,3.98,54.34,23.15,54.63,Moderate
726.5,27.8,98.2,255.8,7.41,3.08,72.04,13.6,58.17,Moderate
541.9,64.0,47.5,136.0,6.0,0.38,44.69,31.6,59.28,Moderate
449.2,42.7,129.2,20.1,8.49,0.37,13.98,34.55,37.78,Poor
974.1,155.8,82.1,168.5,5.48,0.49,37.88,31.61,63.87,Moderate
900.3,243.1,100.9,290.5,7.1,1.41,58.75,13.51,81.86,Healthy
788.1,62.8,15.2,253.6,5.71,3.05,58.39,37.29,56.37,Moderate
1014.2,272.9,114.6,184.1,7.36,0.11,91.4,38.18,66.51,Healthy
320.9,50.5,98.4,92.7,5.54,0.02,85.9,27.65,53.29,Moderate
480.9,39.7,88.6,9.2,7.98,0.86,44.04,18.64,50.76,Moderate
444.1,202.0,108.8,170.3,4.01,0.21,19.64,29.71,46.77,Moderate
808.8,76.2,92.7,145.7,6.15,1.09,75.21,9.55,66.03,Healthy
515.9,79.3,95.0,146.0,7.5,0.18,41.76,28.97,58.85,Moderate
9.2,84.4,29.6,41.2,5.03,1.31,5.72,34.88,35.54,Poor
210.8,106.5,98.5,150.1,8.5,3.22,11.7,39.47,33.31,Poor
50.8,5.2,129.0,258.6,6.95,2.29,70.98,21.71,66.34,Healthy
138.2,5.8,45.5,240.4,7.21,3.33,90.54,8.53,42.91,Moderate
1013.4,68.1,82.4,157.2,5.87,1.24,36.57,18.32,66.75,Healthy
201.8,142.9,16.0,153.0,8.94,1.4,72.65,37.76,41.8,Moderate
978.0,66.2,20.5,59.2,7.11,3.04,65.96,12.09,52.92,Moderate
927.4,138.4,105.6,228.0,6.19,3.7,57.5,30.41,70.85,Healthy
749.4,242.0,87.8,45.3,3.91,1.77,33.16,15.99,48.58,Moderate
67.4,142.1,43.5,135.6,3.84,3.33,12.14,39.57,24.69,Poor
1026.4,172.2,71.0,138.8,6.83,3.17,88.32,22.99,65.86,Healthy
971.8,182.5,45.0,142.7,4.41,0.25,14.63,40.97,41.04,Moderate
412.1,200.0,70.6,51.8,4.99,1.75,45.87,25.91,58.29,Moderate
190.5,104.4,39.6,122.6,5.53,2.39,78.4,30.89,51.64,Moderate
79.1,26.5,95.0,85.2,7.84,2.63,89.29,39.93,39.1,Poor
400.0,163.2,19.8,104.9,9.31,2.79,41.45,28.8,39.46,Poor
1125.6,86.7,52.7,237.5,8.38,2.68,82.09,34.55,50.07,Moderate
822.5,147.4,90.4,127.0,5.67,1.45,21.76,13.57,60.0,Moderate
1137.2,136.2,31.7,41.3,3.96,3.38,14.41,35.83,29.72,Poor
1002.1,247.4,5.3,101.0,8.1,0.52,40.03,11.49,53.43,Moderate
997.6,215.9,113.3,49.7,6.13,1.64,67.9,14.5,74.18,Healthy
533.0,79.8,104.8,134.7,6.7,1.24,80.2,23.76,72.07,Healthy
1002.1,103.0,132.6,295.3,6.27,1.13,40.51,26.1,82.42,Healthy
1159.5,228.7,112.2,41.5,5.0,2.56,86.29,27.18,60.45,Moderate
123.1,236.8,119.2,85.5,8.08,1.09,89.19,10.89,54.69,Moderate
525.0,265.0,31.1,135.3,5.6,0.11,9.95,25.08,56.78,Moderate
282.9,278.5,52.5,8.5,9.08,3.36,65.45,36.66,39.83,Poor
165.1,80.3,116.2,208.8,4.33,2.82,46.72,5.21,42.02,Moderate
95.1,71.7,116.9,164.6,7.86,2.11,15.34,16.52,47.63,Moderate
361.4,13.4,58.8,238.2,6.24,0.44,89.18,28.87,60.45,Moderate
19.7,144.3,33.9,43.1,6.08,2.46,27.37,21.66,52.48,Moderate
797.2,24.0,136.5,20.3,6.66,2.03,96.91,27.17,61.66,Moderate
468.5,131.6,89.0,294.3,5.02,0.06,78.33,18.79,60.45,Moderate
879.5,175.9,108.0,220.6,5.5,0.18,55.78,37.54,68.08,Healthy
210.1,218.2,65.0,208.6,7.29,3.25,10.87,36.05,49.62,Moderate
549.2,82.2,6.1,59.8,3.75,3.73,52.93,44.56,26.05,Poor
651.6,70.9,105.5,57.3,5.64,3.12,85.52,18.28,52.71,Moderate
149.4,103.0,124.5,223.0,8.87,1.55,95.56,24.85,50.54,Moderate
597.0,258.8,72.7,240.3,7.86,0.32,61.03,37.89,65.87,Healthy
654.6,89.9,11.2,198.3,5.34,2.41,44.63,32.59,52.77,Moderate
421.9,11.9,121.8,105.8,9.49,1.1,96.14,42.92,35.39,Poor
90.0,178.5,50.9,240.3,7.58,3.81,18.28,29.3,47.83,Moderate
937.6,9.7,9.4,233.6,5.7,1.53,57.75,29.2,63.73,Moderate
814.9,265.7,52.1,228.9,6.94,2.12,42.02,30.98,72.95,Healthy
299.5,31.8,103.0,149.7,5.82,2.25,29.35,15.41,54.04,Moderate
535.5,279.0,40.0,274.9,6.45,0.49,84.31,23.08,77.99,Healthy
1078.4,124.6,12.3,204.6,8.57,1.28,37.31,7.6,48.37,Moderate
650.6,249.6,119.2,213.5,9.06,2.55,78.81,25.35,58.1,Moderate
145.6,56.3,19.4,237.1,3.66,2.22,39.31,37.15,35.31,Poor
662.0,171.3,12.1,92.8,9.5,2.88,53.89,35.77,39.88,Poor
988.0,20.7,136.1,192.7,6.2,2.72,37.04,40.12,61.65,Moderate
936.3,179.1,25.5,289.9,6.1,3.64,10.15,9.97,53.42,Moderate
183.6,46.1,45.2,212.8,5.58,3.76,88.23,38.84,41.53,Moderate
300.7,177.8,77.1,37.6,5.32,2.13,51.74,11.75,54.42,Moderate
1129.9,43.2,92.2,216.2,7.13,3.37,57.42,38.01,61.61,Moderate
34.0,12.7,89.8,173.0,7.41,3.07,43.74,30.56,50.41,Moderate
597.6,175.6,40.6,287.0,6.4,3.22,68.7,16.9,69.52,Healthy
87.6,16.8,61.5,145.3,4.72,2.43,34.07,33.73,39.06,Poor
881.0,241.0,136.6,39.2,5.72,2.25,34.68,23.66,69.96,Healthy
321.0,69.4,13.6,87.1,5.8,2.46,28.09,39.61,42.64,Moderate
191.6,91.7,80.9,93.8,8.08,1.99,52.87,24.95,54.88,Moderate
370.2,6.5,132.3,151.6,9.3,0.86,37.82,7.02,40.42,Moderate
593.9,247.1,91.6,141.2,6.72,3.39,45.08,40.3,63.7,Moderate
873.0,213.9,51.2,120.2,6.92,0.78,56.45,7.94,68.71,Healthy
605.1,214.0,39.2,296.7,7.58,0.48,95.68,20.76,63.39,Moderate
953.9,94.9,131.5,226.5,4.69,2.04,51.51,6.81,57.79,Moderate
164.4,93.3,66.3,137.1,7.14,2.06,35.5,29.52,56.8,Moderate
195.0,277.4,103.5,89.8,5.52,3.31,54.51,33.35,60.71,Moderate
359.7,228.4,51.6,202.1,9.38,2.33,79.1,34.01,46.7,Moderate
825.7,7.5,66.4,290.1,8.2,3.1,58.72,33.86,52.64,Moderate
700.2,47.7,88.1,185.9,8.55,0.59,68.31,6.26,48.21,Moderate
1137.8,30.8,2.7,94.1,4.41,2.76,43.17,36.0,37.8,Poor
1104.6,244.4,103.0,18.7,4.33,0.83,35.23,31.49,55.7,Moderate
630.6,87.9,24.2,273.6,5.55,1.42,76.8,33.84,60.82,Moderate
772.0,194.1,85.4,57.7,4.98,2.23,25.91,43.92,46.25,Moderate
357.1,80.9,29.0,211.5,5.4,1.4,91.83,36.82,50.7,Moderate
328.1,34.1,94.7,113.9,9.38,3.27,93.78,37.18,29.5,Poor
348.5,80.5,100.0,103.9,6.15,1.03,49.55,13.08,64.87,Moderate
646.3,261.2,97.5,41.2,7.19,2.35,27.55,31.79,61.64,Moderate
637.2,178.6,7.3,124.0,7.8,0.4,76.68,5.21,48.89,Moderate
660.4,260.1,57.0,280.5,8.77,1.91,23.55,43.56,48.02,Moderate
385.4,180.9,127.1,26.8,6.94,2.14,72.25,42.47,60.86,Moderate
1095.9,49.0,123.5,52.7,9.02,3.99,41.92,24.82,43.25,Moderate
1123.9,269.4,129.6,263.0,3.56,2.27,14.98,44.32,50.22,Moderate
341.5,276.9,76.1,148.2,9.13,3.4,48.53,12.71,45.55,Moderate
135.2,45.5,64.2,77.2,4.62,2.95,78.54,27.71,40.24,Moderate
908.7,49.1,119.9,269.1,8.46,2.06,13.07,31.77,50.02,Moderate
221.7,39.4,45.3,74.4,5.06,0.94,75.1,43.16,42.35,Moderate
362.3,202.4,1.6,196.1,7.66,0.25,15.99,17.27,49.94,Moderate
486.5,140.7,125.3,211.1,5.37,0.47,90.2,16.8,61.69,Moderate
737.6,61.4,18.7,46.0,7.99,2.42,43.67,26.97,47.08,Moderate
565.0,150.5,93.0,65.5,4.98,3.02,86.2,8.27,44.55,Moderate
536.1,197.1,10.9,169.3,3.87,2.19,52.01,27.91,48.69,Moderate
179.8,91.9,72.8,34.9,4.73,2.33,13.46,25.42,39.55,Poor
970.4,127.0,71.9,137.0,3.85,1.85,80.04,33.93,47.44,Moderate
475.1,228.6,104.4,173.5,3.77,1.38,10.93,44.76,41.74,Moderate
1121.5,19.3,130.7,9.5,5.95,3.08,76.22,44.13,52.04,Moderate
775.1,117.7,139.0,114.7,8.72,3.63,39.94,32.31,45.9,Moderate
794.2,151.0,91.5,104.3,4.57,2.15,54.18,34.11,54.74,Moderate
267.2,1.0,3.2,89.5,7.54,2.18,54.47,37.93,43.95,Moderate
297.0,96.9,38.6,281.2,7.85,0.45,80.28,21.77,57.45,Moderate
919.3,247.5,2.2,61.8,4.11,0.13,60.59,33.13,49.12,Moderate
58.4,207.4,56.3,70.3,4.8,3.45,10.25,25.16,39.19,Poor
347.1,228.4,102.4,95.7,7.09,2.69,34.82,17.07,62.09,Moderate
171.9,184.9,30.9,90.2,3.87,3.79,86.81,41.46,27.47,Poor
751.2,119.6,69.4,291.7,9.15,2.69,78.08,17.75,49.51,Moderate
499.6,41.8,52.7,226.3,6.34,3.4,32.97,33.3,55.27,Moderate
966.9,256.1,78.7,290.3,6.84,0.54,27.59,13.13,74.09,Healthy
776.0,258.2,118.6,27.7,7.85,0.76,29.97,31.95,60.97,Moderate
723.5,244.6,26.3,228.5,7.85,2.24,49.58,39.78,58.69,Moderate
399.6,268.0,2.1,281.1,9.27,0.47,97.96,24.16,49.56,Moderate
291.1,169.2,28.6,274.5,6.81,3.1,40.4,26.35,64.22,Moderate
431.1,73.2,71.8,149.2,4.09,3.93,48.66,38.59,35.18,Poor
1097.2,103.8,58.0,168.8,4.83,0.58,29.25,42.39,48.15,Moderate
695.0,116.9,21.3,99.0,5.78,3.33,51.44,31.18,54.11,Moderate
821.8,72.1,115.0,290.0,7.35,1.96,20.65,36.8,60.34,Moderate
203.1,201.7,68.4,275.1,6.75,2.57,10.46,6.35,56.01,Moderate
1016.0,264.7,93.6,229.3,5.97,3.37,26.52,33.29,66.61,Healthy
11.0,141.6,52.2,185.4,7.5,2.47,49.94,24.51,59.51,Moderate
7.9,154.5,1.7,158.8,5.15,3.91,6.59,37.53,30.9,Poor
808.8,225.7,127.4,32.1,4.08,0.6,22.85,26.06,51.63,Moderate
978.3,74.9,55.6,111.9,5.94,2.26,97.09,14.03,54.58,Moderate
820.8,237.4,91.5,257.5,8.06,0.37,40.27,27.11,67.49,Healthy
67.3,2.6,24.0,150.0,6.1,3.14,57.62,39.32,48.07,Moderate
114.4,147.9,6.0,63.4,8.71,3.55,49.22,6.86,29.98,Poor
89.2,259.2,125.9,169.1,3.7,3.72,34.25,43.46,38.81,Poor
704.4,210.6,99.8,119.5,3.96,0.65,27.36,38.39,45.89,Moderate
467.0,251.0,46.4,226.7,4.34,3.95,72.35,25.03,52.28,Moderate
1169.2,15.0,61.2,251.6,5.54,3.08,93.8,20.87,55.61,Moderate
928.3,8.3,38.3,297.8,6.44,1.42,92.53,22.27,69.16,Healthy
815.6,185.0,12.0,185.6,8.29,2.85,12.63,11.17,40.53,Moderate
854.0,177.5,103.6,95.0,4.14,0.02,33.67,19.4,49.85,Moderate
323.7,37.1,26.2,134.7,6.83,1.63,7.44,19.16,50.55,Moderate
111.7,167.5,45.4,115.6,5.25,1.55,12.88,41.05,43.13,Moderate
1086.2,273.9,80.1,50.9,5.78,0.56,33.01,24.72,70.68,Healthy
75.9,121.7,59.0,145.3,3.96,1.01,27.93,30.0,41.44,Moderate
712.6,54.8,15.0,91.4,9.19,1.33,62.68,37.16,41.74,Moderate
395.5,93.7,114.2,257.9,9.35,0.54,34.82,42.89,43.66,Moderate
241.0,88.0,135.0,290.6,5.25,2.78,50.66,28.04,63.21,Moderate
290.9,105.3,114.3,117.9,4.18,2.26,60.08,26.83,52.51,Moderate
818.1,154.0,133.4,138.5,7.75,1.75,32.09,32.71,62.12,Moderate
982.8,222.8,57.3,149.8,7.3,0.97,66.26,33.61,71.11,Healthy
946.9,20.7,138.7,143.8,5.9,2.03,90.6,32.67,61.79,Moderate
652.4,221.4,50.3,268.7,6.72,2.55,12.9,35.76,62.1,Moderate
789.1,99.4,90.6,13.3,9.4,2.71,42.16,35.11,38.78,Poor
1158.9,120.5,1.5,77.6,6.56,2.08,58.99,28.01,69.37,Healthy
534.9,109.5,108.1,176.6,6.5,1.38,7.28,9.18,61.38,Moderate
499.2,269.3,16.2,282.2,4.35,1.25,47.35,13.27,58.13,Moderate
579.5,133.3,61.3,209.0,5.41,1.2,80.35,9.6,59.53,Moderate
1019.0,181.4,94.8,49.3,9.4,0.98,21.22,11.41,44.75,Moderate
671.8,268.4,32.5,121.5,4.61,2.56,45.19,6.17,48.17,Moderate
736.9,55.3,82.9,116.7,7.73,0.82,74.97,37.35,54.75,Moderate
75.1,28.5,122.1,56.1,5.46,1.83,29.4,39.51,45.85,Moderate
633.3,179.0,83.6,183.4,7.02,1.39,83.63,29.69,70.24,Healthy
976.5,197.7,41.6,184.3,4.01,0.54,15.96,17.22,45.72,Moderate
219.7,194.2,71.5,125.5,4.33,1.53,22.28,30.42,46.53,Moderate
832.1,180.7,140.0,166.5,6.44,0.56,34.26,23.04,79.12,Healthy
64.3,100.5,1.3,41.0,8.39,3.86,52.01,24.8,37.26,Poor
821.6,116.4,117.6,146.6,4.0,0.12,75.78,16.68,50.13,Moderate
329.8,150.5,23.5,137.2,7.96,3.06,56.12,9.53,46.74,Moderate
137.0,217.0,115.3,110.1,8.44,0.17,71.87,26.85,56.71,Moderate
1187.7,28.7,116.2,225.4,5.29,4.0,46.83,18.94,58.72,Moderate
980.1,122.9,139.2,232.7,4.92,3.24,59.68,19.03,64.97,Moderate
852.9,177.2,23.2,41.8,4.74,0.83,10.52,19.03,45.1,Moderate
337.3,150.9,45.3,211.2,5.24,1.07,84.8,44.42,51.63,Moderate
815.2,26.7,134.8,235.7,9.01,3.97,85.64,10.08,39.23,Poor
1039.3,69.9,99.6,248.5,8.07,2.7,50.52,28.1,61.26,Moderate
322.5,116.0,63.3,190.1,8.78,0.37,52.95,16.13,49.13,Moderate
1123.6,103.3,133.0,98.2,3.51,3.1,73.14,34.24,47.02,Moderate
550.1,186.0,50.2,19.0,6.71,0.87,44.96,13.47,64.03,Moderate
322.2,231.9,47.3,173.4,6.9,1.94,36.97,32.3,65.25,Healthy
58.1,27.9,109.7,137.9,4.25,3.43,46.04,5.03,32.84,Poor
1149.6,56.6,96.4,39.6,7.4,0.64,91.74,15.96,56.66,Moderate
785.5,70.1,52.1,271.1,4.49,1.59,33.41,32.98,51.06,Moderate
281.0,183.5,98.5,0.3,6.36,0.53,26.04,32.2,60.78,Moderate
11.1,194.8,114.4,296.4,6.03,0.53,11.59,20.32,66.27,Healthy
876.9,28.7,43.9,264.3,4.32,3.09,75.04,10.33,42.11,Moderate
1191.5,40.0,74.3,2.5,7.4,1.76,72.19,30.12,59.02,Moderate
181.6,115.3,96.1,258.0,4.02,0.4,74.98,28.58,50.8,Moderate
460.8,269.7,44.0,41.9,5.16,0.34,56.47,29.0,60.69,Moderate
729.1,218.1,96.7,254.4,7.45,1.21,53.15,25.38,78.89,Healthy
897.4,82.8,7.6,269.4,9.23,1.98,15.49,24.98,42.78,Moderate
712.7,147.9,136.9,296.1,9.1,0.53,85.06,27.74,58.25,Moderate
438.5,191.2,106.8,286.3,8.12,0.07,11.28,15.49,53.74,Moderate
47.8,16.9,110.5,152.0,7.27,2.0,43.64,33.07,55.75,Moderate
98.9,150.2,86.2,83.2,5.36,2.05,23.9,37.32,47.54,Moderate
643.7,109.4,88.8,250.4,7.59,0.26,69.98,34.2,63.03,Moderate
1015.8,16.2,12.1,130.3,6.22,2.44,33.76,34.67,53.83,Moderate
888.8,33.4,99.1,210.4,4.48,3.81,53.64,36.32,46.23,Moderate
864.9,46.7,17.8,234.3,5.11,3.55,76.74,6.17,42.64,Moderate
968.5,76.2,8.9,213.7,6.96,0.31,47.33,19.4,64.62,Moderate
599.5,158.7,51.5,76.5,4.12,2.3,72.22,14.14,44.02,Moderate
610.6,12.3,120.8,73.4,6.33,1.53,18.96,42.25,54.25,Moderate
